ID;RESOURCE;PROPERTY;VOICEOVER;KEY;BR;CZ;RU;AR;TR;CN;PL;IT;FR;DE;ZH;ESMX;EN;KR;ES;JP;HU
2116737728;"CStoryScene ""dlc\dlcsted\data\scenes\sted_gp_oneliners_margarita.w2scene""";Line text;MGLA_STED_2116737728;;Vá para Oxenfurt. Eu me juntarei a você lá.;Jděte do Oxenfurtu. tam se k vám přidám.;Отправляйтесь в Оксенфурт. Я присоединюсь к тебе там.;اذهب إلى أوكسينفورت. سوف أنضم إليكم هناك.;Oxenfurt'a git. Orada size katılacağım.;前往奥克森福特。我会去那里和你一起。;Jedź do Oxenfurtu. Dołączę do ciebie.;Vai a Oxenfurt. Ti raggiungerò lì.;Va à Oxenfurt. Je t'y rejoins.;Gehe nach Oxenfurt. Ich geselle mich dorthin.;前往奥克森福特。我会去那里和你一起。;Ve a Oxenfurt. Me reuniré contigo allí.;Go to Oxenfurt. I'll join you there.;옥센푸르트로 가세요. 나도 거기에 합류할게.;Ve a Oxenfurt. Me reuniré contigo allí.;オクセンフルトへ行きます。私もそこに参加します。;Menj Oxenfurtba. csatlakozom hozzád ott.
2116737730;"CStoryScene ""dlc\dlcsted\data\scenes\sted_gp_oneliners_margarita.w2scene""";Line text;MGLA_STED_2116737730;;Pssst. Estou escondido aqui.;Pssst. Jsem tady schovaný.;Пссст. Я спрятан здесь.;بسسست. أنا مختبئ هنا.;Şşşt. Burada saklandım.;嘘。我隐藏在这里。;Pssst. Jestem tu ukryta.;Pssst. Sono nascosto qui.;Pssst. Je suis cachée ici.;Pssst. Ich bin hier versteckt.;嘘。我隐藏在这里。;Psst. Estoy escondido aquí.;Pssst. I'm hidden here.;잠깐만요. 나는 여기에 숨겨져 있습니다.;Psst. Estoy escondido aquí.;うーん。私はここに隠れています。;Pssst. itt vagyok elrejtve.
2116737732;"CStoryScene ""dlc\dlcsted\data\scenes\sted_06a_geralt_yen_gp.w2scene""";Line text;GRLT_STED_2116737732;;Jaskier também me pediu para segui-lo.;Jaskier mě také požádal, abych ho následoval.;Лютик также попросил меня следовать за ним.;كما طلب مني جاسكيير أن أتبعه.;Jaskier de onu takip etmemi istedi.;贾斯基尔也让我跟着他。;Jaskier również poprosił mnie, abym poszedł za nim.;Anche Jaskier mi ha chiesto di seguirlo.;Jaskier m'a également demandé de le suivre.;Jaskier bat mich auch, ihm zu folgen.;贾斯基尔也让我跟着他。;Jaskier también me pidió que lo siguiera.;Dandelion also asked me to follow him.;Jaskier도 나에게 그를 따라오라고 요청했습니다.;Jaskier también me pidió que lo siguiera.;ヤスキエさんも私に彼についていくように頼んだ。;Jaskier is megkért, hogy kövessem.
2116737734;"CStoryScene ""dlc\dlcsted\data\scenes\sted_06a_geralt_yen_gp.w2scene""";Line text;YENN_STED_2116737734;;Espero que caminhar ao meu lado seja mais agradável para você.;Doufám, že chůze vedle mě je pro vás příjemnější.;Надеюсь, тебе будет приятнее идти рядом со мной.;أتمنى أن يكون المشي بجانبي أكثر متعة بالنسبة لك.;Umarım yanımda yürümek senin için daha keyifli olur.;我希望在我身边行走对你来说更加愉快。;Mam nadzieję, że chodzenie obok mnie będzie dla Ciebie przyjemniejsze.;Spero che camminare accanto a me sia per te più piacevole.;J'espère que marcher à mes côtés t'est plus agréable.;Ich hoffe, dass es für Sie angenehmer ist, neben mir zu gehen.;我希望在我身边行走对你来说更加愉快。;Espero que caminar a mi lado sea más placentero para ti.;I hope that walking beside me is more pleasant for you.;내 옆에서 걷는 것이 당신에게 더 즐거웠기를 바랍니다.;Espero que caminar a mi lado sea más placentero para ti.;私の隣を歩くことがあなたにとってもっと楽しいものになることを願っています。;Remélem kellemesebb lesz a mellettem sétálni.
2116737736;"CStoryScene ""dlc\dlcsted\data\scenes\sted_06a_geralt_yen_gp.w2scene""";Line text;YENN_STED_2116737736;;Tenho coisas para discutir com Margarita.;Mám věci k projednání s Margaritou.;Мне есть что обсудить с Маргаритой.;لدي أشياء لأناقشها مع مارغريتا.;Margarita'yla konuşmam gereken şeyler var.;我有事情要和玛格丽塔讨论。;Mam sprawy do omówienia z Margaritą.;Ho delle cose da discutere con Margarita.;J'ai des choses à discuter avec Margarita.;Ich habe Dinge mit Margarita zu besprechen.;我有事情要和玛格丽塔讨论。;Tengo cosas que discutir con Margarita.;I have things to discuss with Margarita.;마가리타와 상의할 일이 있어요.;Tengo cosas que discutir con Margarita.;マルガリータと話したいことがあります。;Valamit meg kell beszélnem Margaritával.
2116737738;"CStoryScene ""dlc\dlcsted\data\scenes\sted_06b_rita_oxenfurt.w2scene""";Line text;GRLT_STED_2116737738;;Eu encontrei isso.;Našel jsem tohle.;Я нашел это.;لقد وجدت هذا.;Bunu buldum.;我找到了这个。;Znalazłem to.;Ho trovato questo.;J'ai trouvé ça.;Ich habe das gefunden.;我找到了这个。;Encontré esto.;I found this.;나는 이것을 발견했다.;Encontré esto.;これを見つけました。;ezt találtam.
2116737740;"CStoryScene ""dlc\dlcsted\data\scenes\sted_06b_rita_oxenfurt.w2scene""";Line text;MGLA_STED_2116737740;;Deixe-me dar uma olhada nisso.;Nech mě se na to podívat.;Позвольте мне взглянуть на это.;اسمحوا لي أن ألقي نظرة على ذلك.;Şuna bir bakayım.;让我看一下。;Pozwól mi na to spojrzeć.;Fammi dare un'occhiata.;Laisse-moi y jeter un oeil.;Lass es mich mal ansehen.;让我看一下。;Déjame echarle un vistazo.;Let me have a look.;한번 살펴보겠습니다.;Déjame echarle un vistazo.;見てみましょう。;Hadd vessek egy pillantást rá.
2116737742;"CStoryScene ""dlc\dlcsted\data\scenes\sted_06b_rita_oxenfurt.w2scene""";Line text;MGLA_STED_2116737742;;Certo, é o caminho certo.;Pozor, je to ten pravý.;Поверьте, это правильно.;بقعة على، وهذا هو الصحيح.;İşte, doğru olan bu.;一看就知道，这是对的。;Dokładnie, to ten właściwy.;Perfetto, è quello giusto.;Dans le mille, c'est le bon.;Genau richtig, es ist das Richtige.;一看就知道，这是对的。;Acertado, es el correcto.;In the bull's-eye, this is the one.;잠깐, 그게 정답이에요.;Acertado, es el correcto.;正解です、それは正しいものです。;Pontosan, ez a megfelelő.
2116737744;"CStoryScene ""dlc\dlcsted\data\scenes\sted_06b_rita_oxenfurt.w2scene""";Line text;GRLT_STED_2116737744;;Mas é normal que seu conteúdo seja ilegível?;Je ale normální, že je jeho obsah nečitelný?;Но нормально ли то, что его содержимое нечитабельно?;ولكن هل من الطبيعي أن يكون محتواه غير قابل للقراءة؟;Ancak içeriğinin okunamaması normal mi?;但内容看不懂是正常的吗？;Ale czy to normalne, że jego treść jest nieczytelna?;Ma è normale che il suo contenuto sia illeggibile?;Mais est-ce normal que son contenu soit illisible ?;Aber ist es normal, dass der Inhalt unlesbar ist?;但内容看不懂是正常的吗？;¿Pero es normal que su contenido sea ilegible?;But is it normal for the content to be illegible?;하지만 내용을 읽을 수 없는 것이 정상인가요?;¿Pero es normal que su contenido sea ilegible?;しかし、その内容が読めないのは普通のことでしょうか?;De normális, hogy a tartalma olvashatatlan?
2116737746;"CStoryScene ""dlc\dlcsted\data\scenes\sted_06b_rita_oxenfurt.w2scene""";Line text;MGLA_STED_2116737746;;Como você pode esperar, este é um livro especial.;Jak se dalo čekat, je to speciální kniha.;Как и следовало ожидать, это особенная книга.;كما قد تتوقع، هذا كتاب خاص.;Tahmin edebileceğiniz gibi bu özel bir kitap.;正如您所料，这是一本特别的书。;Jak można się spodziewać, jest to książka wyjątkowa.;Come ci si potrebbe aspettare, questo è un libro speciale.;Comme tu pouvais t'y attendre, c'est un livre spécial.;Wie Sie vielleicht erwarten, ist dies ein besonderes Buch.;正如您所料，这是一本特别的书。;Como era de esperar, este es un libro especial.;As you'd expect, this is a special book.;예상하셨듯이 이 책은 특별한 책입니다.;Como era de esperar, este es un libro especial.;ご想像のとおり、これは特別な本です。;Ahogy az várható volt, ez egy különleges könyv.
